Name;Description;System Type;Display Pattern
string;A unicode string;String;
double;A real number;Double;
decimal;A precise real number with a restricted range;Decimal;
integer;An 32 bit integer number;Int32;
number;An 16 bit integer number;Int16;
bool;A boolean value;Boolean;
datetime;A date with / or time;DateTime;
text;For a long text;String;
date;A date;DateTime;DateIso
time;A time;DateTime;Time
