Name;Description;System Type;Display Pattern
string;An unicode string;String;
double;A real number;Double;
integer;An integer number;Int32;
bool;A boolean value;Boolean;
datetime;A date with / or time;DateTime;
text;For a long text;String;
date;A date;DateTime;DateIso
time;A time;DateTime;Time
